gender;SeniorCitizen;Partner;Dependents;tenure;PhoneService;MultipleLines;OnlineSecurity;OnlineBackup;DeviceProtection;TechSupport;StreamingTV;StreamingMovies;Contract;PaperlessBilling;PaymentMethod;MonthlyCharges;TotalCharges;Churn
1;0;1;0;1;0;0;0;1;0;0;0;0;0;1;2;29.85;29.85;No
0;0;0;0;34;1;0;1;0;1;0;0;0;1;1;3;56.95;1889.5;No
0;0;0;0;2;1;0;1;1;0;0;0;0;0;1;3;53.85;108.15;yes
0;0;0;0;45;0;0;1;0;1;1;0;0;1;0;0;42.3;1840.75;No
1;0;0;0;2;1;0;0;0;0;0;0;0;0;1;2;70.7;151.65;yes
1;0;0;0;8;1;1;0;0;1;0;1;1;0;1;2;99.65;820.5;yes
0;0;0;1;22;1;1;0;1;0;0;1;0;0;1;1;89.1;1949.4;No
1;0;0;0;10;0;0;1;0;0;0;0;0;0;0;3;29.75;301.9;No
1;0;1;0;28;1;1;0;0;1;1;1;1;0;1;2;104.8;3046.05;yes
0;0;0;1;62;1;0;1;1;0;0;0;0;1;0;0;56.15;3487.95;No
0;0;1;1;13;1;0;1;0;0;0;0;0;0;1;3;49.95;587.45;No
0;0;0;0;16;1;0;0;0;0;0;0;0;2;0;1;18.95;326.8;No
0;0;1;0;58;1;1;0;0;1;0;1;1;1;0;1;100.35;5681.1;No
0;0;0;0;49;1;1;0;1;1;0;1;1;0;1;0;103.7;5036.3;yes
0;0;0;0;25;1;0;1;0;1;1;1;1;0;1;2;105.5;2686.05;No
1;0;1;1;69;1;1;1;1;1;1;1;1;2;0;1;113.25;7895.15;No
1;0;0;0;52;1;0;0;0;0;0;0;0;1;0;3;20.65;1022.95;No
0;0;0;1;71;1;1;1;0;1;0;1;1;2;0;0;106.7;7382.25;No
1;0;1;1;10;1;0;0;0;1;1;0;0;0;0;1;55.2;528.35;yes
1;0;0;0;21;1;0;0;1;1;0;0;1;0;1;2;90.05;1862.9;No
0;1;0;0;1;0;0;0;0;1;0;0;1;0;1;2;39.65;39.65;yes
0;0;1;0;12;1;0;0;0;0;0;0;0;1;0;0;19.8;202.25;No
0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;3;20.15;20.15;yes
1;0;1;0;58;1;1;0;1;0;1;0;0;2;1;1;59.9;3505.1;No
0;0;1;1;49;1;0;1;1;0;1;0;0;0;0;1;59.6;2970.3;No
1;0;0;0;30;1;0;1;1;0;0;0;0;0;1;0;55.3;1530.6;No
0;0;1;1;47;1;1;0;1;0;0;1;1;0;1;2;99.35;4749.15;yes
0;0;1;1;1;0;0;0;1;0;0;0;0;0;0;2;30.2;30.2;yes
0;0;1;0;72;1;1;1;1;1;1;1;1;2;1;1;90.25;6369.45;No
1;0;0;1;17;1;0;0;0;0;0;1;1;0;1;3;64.7;1093.1;yes
1;1;1;0;71;1;1;1;1;1;1;0;0;2;1;1;96.35;6766.95;No
0;1;1;0;2;1;0;0;0;1;0;1;1;0;1;1;95.5;181.65;No
1;0;1;1;27;1;0;1;1;1;1;0;0;1;0;3;66.15;1874.45;No
0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;20.2;20.2;No
0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;45.25;45.25;No
1;0;1;1;72;1;1;1;1;0;1;1;0;2;0;0;99.9;7251.7;No
0;0;0;0;5;1;0;0;0;0;0;0;0;0;1;2;69.7;316.9;yes
1;0;0;0;46;1;0;0;0;1;0;0;0;0;1;1;74.8;3548.3;No
0;0;0;0;34;1;1;0;1;1;0;1;1;0;1;2;106.35;3549.25;yes
1;0;0;0;11;1;1;0;0;1;0;1;1;0;1;0;97.85;1105.4;yes
0;0;1;1;10;1;0;0;1;0;0;0;0;1;0;3;49.55;475.7;No
1;0;1;1;70;1;1;1;1;0;0;1;0;2;1;1;69.2;4872.35;No
1;0;1;1;17;1;0;0;0;0;0;0;0;1;0;3;20.75;418.25;No
1;0;0;0;63;1;1;1;1;1;1;1;0;2;1;1;79.85;4861.45;No
1;0;1;0;13;1;1;1;1;0;1;1;0;0;1;2;76.2;981.45;No
1;0;0;0;49;1;1;0;0;0;0;0;1;0;1;2;84.5;3906.7;No
0;0;0;0;2;1;0;0;1;0;0;0;0;0;0;3;49.25;97;No
1;0;0;0;2;1;0;0;0;0;0;1;0;0;1;2;80.65;144.15;yes
0;0;0;0;52;1;1;1;0;0;1;1;1;2;1;1;79.75;4217.8;No
1;0;1;1;69;1;1;1;0;1;1;0;0;2;1;1;64.15;4254.1;No
1;1;0;0;43;1;1;0;1;0;0;1;0;0;1;2;90.25;3838.75;No
1;0;0;0;15;1;0;1;1;0;0;1;1;0;1;1;99.1;1426.4;yes
1;1;1;0;25;1;1;1;0;0;1;1;0;0;1;1;69.5;1752.65;No
1;1;1;0;8;1;1;0;1;0;0;0;0;0;1;1;80.65;633.3;yes
